,date,open,close,high,low,volume,amount,return
0,2008-05-12,3.164,3.399,3.496,3.164,182125.4,619044.2346,0.1909224011713031
1,2008-05-13,3.415,3.739,3.739,3.411,49982.31,186883.85708999998,0.06725755995829008
2,2008-05-14,3.836,3.808,3.923,3.623,49221.3,187434.7104,0.10154584221748397
3,2008-05-15,3.752,3.813,4.026,3.752,46358.73,176765.83749000003,0.06521160500399237
4,2008-05-16,3.757,3.697,3.958,3.668,34778.67,128576.74299,0.11687965921192767
5,2008-05-19,3.756,4.067,4.067,3.707,27061.78,110060.25926,-0.018858800773694506
6,2008-05-20,4.136,4.094,4.281,3.955,33501.59,137155.50946,-0.060009718172983395
7,2008-05-21,4.116,4.133,4.15,3.903,27273.33,112720.67289,-0.027984150569589028
8,2008-05-22,4.038,4.002,4.172,3.927,22993.76,92021.02751999999,0.03177427554651757
9,2008-05-23,3.934,4.195,4.22,3.934,23505.31,98604.77545000002,-0.008433734939759074
10,2008-05-26,4.15,4.058,4.239,4.026,10721.42,43507.522359999995,0.010937111608252614
11,2008-05-27,4.023,3.869,4.105,3.847,10026.99,38794.42431,0.11919504643962853
12,2008-05-28,3.876,3.925,4.015,3.758,8985.86,35269.5005,0.10564287554753937
13,2008-05-29,3.881,4.059,4.094,3.858,8376.34,33999.564060000004,0.07546699875466989
14,2008-05-30,4.015,4.115,4.17,4.015,8075.23,33229.57145,0.0637985822537277
15,2008-06-02,4.091,4.067,4.1,3.949,4872.9,19818.0843,0.021486786860953178
16,2008-06-03,4.049,4.338,4.458,4.04,15973.72,69293.99736,-0.06632653061224503
17,2008-06-04,4.312,4.291,4.346,4.153,8818.02,37838.12382000001,-0.05558183538315986
18,2008-06-05,4.228,4.318,4.361,4.155,5676.28,24510.177039999995,-0.15813424345847538
19,2008-06-06,4.395,4.352,4.458,4.29,6343.27,27605.911040000003,-0.14512310606060608
20,2008-06-10,4.224,4.136,4.317,3.925,11765.0,48660.04,-0.15870264917058663
21,2008-06-11,4.039,4.026,4.145,3.869,12329.29,49637.72154,-0.09989934574735793
22,2008-06-12,3.974,3.993,4.026,3.817,7006.01,27974.99793,-0.1644422059934525
23,2008-06-13,3.971,3.7,3.976,3.624,14694.08,54368.096000000005,-0.0694558381186765
24,2008-06-16,3.657,3.611,3.7,3.366,18209.79,65755.55169000001,-0.05557122708039497
25,2008-06-17,3.545,3.398,3.61,3.396,3459.8,11756.4004,0.046035046035046046
26,2008-06-18,3.367,3.577,3.586,3.208,6319.43,22604.60111,0.025884383088869756
27,2008-06-19,3.477,3.318,3.527,3.221,5310.42,17619.973560000002,0.0664431575739104
28,2008-06-20,3.281,3.403,3.522,3.108,4878.79,16602.52237,-0.0027198549410699657
29,2008-06-23,3.309,3.348,3.386,3.253,3481.45,11655.8946,0.013209246472530856
30,2008-06-24,3.331,3.522,3.532,3.286,5584.32,19667.975039999998,-0.03248993674525591
31,2008-06-25,3.478,3.567,3.609,3.423,4710.32,16801.71144,-0.03924866834875251
32,2008-06-26,3.567,3.499,3.576,3.398,6417.41,22454.51759,0.05319465081723629
33,2008-06-27,3.365,3.3,3.458,3.297,3819.86,12605.538,0.035003017501508804
34,2008-06-30,3.314,3.375,3.385,3.203,2176.17,7344.5737500000005,0.03703703703703698
35,2008-07-01,3.375,3.365,3.376,3.253,1441.8,4851.657,0.06656760772659731
36,2008-07-02,3.365,3.427,3.475,3.321,1974.15,6765.412050000001,0.06818864523881052
37,2008-07-03,3.329,3.544,3.589,3.29,5113.95,18123.8388,0.08345241497570721
38,2008-07-04,3.499,3.43,3.51,3.387,2155.76,7394.256800000001,0.10223732653639184
39,2008-07-07,3.531,3.5,3.585,3.456,4251.47,14880.145,0.11823361823361833
40,2008-07-08,3.51,3.589,3.589,3.499,7801.33,27998.97337,0.04176971695520759
41,2008-07-09,3.639,3.556,3.645,3.466,6974.38,24800.89528,0.03200914547013434
42,2008-07-10,3.499,3.791,3.85,3.49,10263.09,38907.37419,-0.040381991814461116
43,2008-07-11,3.665,3.892,3.897,3.665,8098.75,31520.335,-0.07369234733316143
44,2008-07-14,3.881,3.925,3.977,3.827,6979.97,27396.38225,-0.05160960654062341
45,2008-07-15,3.914,3.791,3.931,3.679,3678.63,13945.68633,-0.017454350161117183
46,2008-07-16,3.724,3.611,3.78,3.516,2460.96,8886.52656,-0.0035460992907800915
47,2008-07-17,3.666,3.517,3.676,3.517,1653.03,5813.70651,0.042033513206475526
48,2008-07-18,3.521,3.595,3.625,3.478,1418.39,5099.112050000001,0.045062586926286397
49,2008-07-21,3.595,3.712,3.752,3.567,3143.46,11668.52352,0.03642294101658061
50,2008-07-22,3.679,3.659,3.75,3.646,1298.74,4752.08966,0.04350220264317173
51,2008-07-23,3.632,3.653,3.727,3.632,1623.2,5929.5496,-0.019939907129199685
52,2008-07-24,3.661,3.669,3.721,3.641,4624.66,16967.87754,-0.06740962217994018
53,2008-07-25,3.679,3.757,3.853,3.669,3117.21,11711.357970000001,-0.08045370614613556
54,2008-07-28,3.791,3.813,3.85,3.703,2916.91,11122.17783,-0.10464201416207708
55,2008-07-29,3.813,3.79,3.813,3.738,1373.03,5203.7837,-0.09475645461804638
56,2008-07-30,3.757,3.588,3.791,3.568,4308.02,15457.175760000002,-0.045711060948081195
57,2008-07-31,3.544,3.431,3.617,3.421,3758.13,12894.144030000001,0.00326894502228825
58,2008-08-01,3.365,3.486,3.554,3.365,2636.29,9190.10694,-0.01868613138686115
59,2008-08-04,3.425,3.414,3.516,3.41,897.6,3064.4064000000003,-0.06431054461181918
60,2008-08-05,3.452,3.401,3.452,3.382,1730.37,5884.988369999999,-0.14171833480956597
61,2008-08-06,3.387,3.382,3.477,3.275,2726.72,9221.767039999999,-0.17812225797016668
62,2008-08-07,3.419,3.376,3.419,3.287,666.0,2248.4159999999997,-0.15995260663507116
63,2008-08-08,3.376,3.361,3.376,3.14,2862.85,9622.03885,-0.13540372670807466
64,2008-08-11,3.22,3.23,3.313,3.196,2003.18,6470.2714000000005,-0.0608875128998968
65,2008-08-12,2.907,2.907,2.955,2.907,23836.85,69293.72295,0.026401446654611194
66,2008-08-13,2.765,2.81,2.86,2.647,19740.39,55470.4959,-0.023576351106274873
67,2008-08-14,2.757,2.836,2.849,2.681,7682.88,21788.64768,-0.037884203002144345
68,2008-08-15,2.798,2.784,2.894,2.765,7780.41,21660.66144,0.030220844633862765
69,2008-08-19,2.581,2.73,2.737,2.566,4367.1,11922.183,-0.08874860750092828
70,2008-08-20,2.693,2.838,2.899,2.602,8802.49,24981.46662,-0.13068385248836378
71,2008-08-21,2.793,2.692,2.815,2.649,3157.57,8500.178440000002,-0.0975889781859931
72,2008-08-22,2.613,2.692,2.725,2.613,1593.13,4288.70596,-0.12227074235807867
73,2008-08-25,2.748,2.659,2.748,2.636,1291.51,3434.1250899999995,-0.10660091047040976
