id	char
0	

1	 
2	(
3	)
4	+
5	,
6	-
7	.
8	0
9	1
10	2
11	3
12	4
13	5
14	8
15	9
16	:
17	=
18	?
19	A
20	a
21	t
23	—
24	―
25	“
26	”
27	…
28	①
29	、
30	。
31	《
32	》
34	一
35	七
36	万
37	丈
38	三
39	上
40	下
41	不
42	与
43	丑
44	专
45	且
46	世
47	业
48	丛
49	东
50	丝
51	丢
52	两
53	严
54	丧
55	个
56	丫
57	中
58	丰
59	串
60	临
61	丹
62	为
63	主
64	丽
65	举
66	久
67	么
68	义
69	之
70	乌
71	乎
72	乏
73	乐
74	乘
75	九
76	乞
77	也
78	习
79	乡
80	书
81	买
82	乱
83	乳
84	了
85	予
86	争
87	事
88	二
89	于
90	亏
91	云
92	互
93	五
94	井
95	亘
96	亚
97	些
98	亡
99	亢
100	交
101	亦
102	产
103	亩
104	享
105	京
106	亭
107	亮
108	亲
109	亵
110	人
111	亿
112	什
113	仃
114	仅
115	今
116	仍
117	从
118	仓
119	仔
120	他
121	付
122	仙
123	代
124	令
125	以
126	仪
127	们
128	仰
129	仲
130	件
131	价
132	任
133	份
134	仿
135	伊
136	伏
137	伐
138	休
139	众
140	优
141	伙
142	会
143	伞
144	伟
145	传
146	伤
147	伪
148	伯
149	伴
150	伶
151	伸
152	似
153	但
154	位
155	低
156	住
157	佑
158	体
159	何
160	余
161	佚
162	佛
163	作
164	你
165	佳
166	使
167	侈
168	依
169	侠
170	侮
171	侵
172	便
173	促
174	俊
175	俏
176	俗
177	保
178	信
179	俨
180	修
181	俯
182	俱
183	倍
184	倒
185	倔
186	倘
187	候
188	倚
189	借
190	倦
191	倩
192	倪
193	债
194	值
195	倾
196	假
197	偎
198	偏
199	偕
200	做
201	停
202	健
203	偶
204	偷
205	偿
206	傅
207	傍
208	储
209	催
210	傲
211	傻
212	像
213	僵
214	儿
215	兀
216	允
217	元
218	兄
219	充
220	先
221	光
222	克
223	免
224	兔
225	党
226	入
227	全
228	八
229	公
230	六
231	兮
232	兰
233	共
234	关
235	兴
236	其
237	具
238	养
239	兼
240	内
241	冉
242	再
243	冒
244	冗
245	写
246	军
247	农
248	冢
249	冬
250	冰
251	冲
252	决
253	况
254	冷
255	净
256	凄
257	准
258	凉
259	凋
260	凌
261	减
262	凛
263	凝
264	几
265	凡
266	凤
267	凭
268	凳
269	出
270	击
271	刀
272	分
273	切
274	刊
275	划
276	列
277	则
278	刚
279	创
280	初
281	删
282	判
283	利
284	别
285	刮
286	到
287	制
288	刷
289	刹
290	刺
291	刻
292	剂
293	削
294	前
295	剑
296	剔
297	剧
298	剩
299	剪
300	副
301	割
302	劈
303	力
304	办
305	功
306	加
307	务
308	劣
309	动
310	助
311	努
312	励
313	劲
314	劳
315	势
316	勃
317	勇
318	勉
319	勋
320	勒
321	勤
322	勺
323	勾
324	匀
325	包
326	匆
327	化
328	北
329	匙
330	匡
331	匹
332	区
333	医
334	匿
335	十
336	千
337	卅
338	升
339	午
340	半
341	华
342	协
343	卑
344	单
345	卖
346	南
347	博
348	卧
349	卫
350	印
351	危
352	即
353	却
354	卵
355	卷
356	卸
357	卿
358	历
359	压
360	厌
361	厚
362	原
363	厢
364	去
365	县
366	参
367	又
368	及
369	友
370	双
371	反
372	发
373	取
374	受
375	变
376	叠
377	口
378	古
379	句
380	另
381	叨
382	叩
383	只
384	叫
385	可
386	台
387	叱
388	史
389	右
390	叶
391	号
392	司
393	叹
394	叼
395	吃
396	各
397	合
398	吉
399	同
400	名
401	后
402	吐
403	向
404	吓
405	吗
406	君
407	吞
408	吟
409	否
410	吧
411	含
412	听
413	启
414	吴
415	吸
416	吹
417	吻
418	吼
419	呀
420	呆
421	呈
422	告
423	呐
424	呓
425	呕
426	员
427	呜
428	呢
429	呦
430	周
431	味
432	呵
433	呼
434	命
435	和
436	咐
437	咒
438	咖
439	咙
440	咤
441	咬
442	咸
443	咽
444	咿
445	哀
446	品
447	哈
448	响
449	哎
450	哑
451	哗
452	哟
453	哥
454	哦
455	哨
456	哪
457	哭
458	唇
459	唏
460	唐
461	唢
462	唤
463	售
464	唯
465	唱
466	唾
467	啃
468	啊
469	啡
470	啦
471	啸
472	啼
473	喂
474	喃
475	善
476	喉
477	喊
478	喘
479	喜
480	喝
481	喧
482	喳
483	喷
484	嗅
485	嗑
486	嗓
487	嗡
488	嗨
489	嗯
490	嘉
491	嘘
492	嘛
493	嘟
494	嘱
495	嘲
496	嘴
497	嘶
498	嘻
499	器
500	噩
501	噬
502	嚣
503	嚼
504	囊
505	四
506	回
507	因
508	团
509	园
510	困
511	围
512	固
513	国
514	图
515	圆
516	圈
517	土
518	圣
519	在
520	地
521	场
522	坊
523	坎
524	坏
525	坐
526	块
527	坚
528	坟
529	坠
530	坡
531	坦
532	坪
533	坳
534	坷
535	垂
536	型
537	垛
538	垢
539	垭
540	埃
541	埋
542	城
543	域
544	基
545	堂
546	堆
547	堪
548	塌
549	塑
550	塔
551	塘
552	塞
553	填
554	境
555	墓
556	墙
557	增
558	墨
559	壁
560	壤
561	士
562	壮
563	声
564	壳
565	处
566	备
567	复
568	夏
569	夕
570	外
571	夙
572	多
573	夜
574	够
575	大
576	天
577	太
578	夫
579	夭
580	央
581	夯
582	失
583	头
584	夹
585	夺
586	奇
587	奈
588	奉
589	奋
590	奏
591	奔
592	奖
593	套
594	奠
595	奢
596	女
597	奴
598	奶
599	她
600	好
601	如
602	妄
603	妆
604	妇
605	妈
606	妙
607	妨
608	妩
609	妹
610	妻
611	始
612	姐
613	姑
614	姗
615	姨
616	姬
617	姹
618	姻
619	姿
620	威
621	娇
622	娑
623	娘
624	娜
625	娥
626	娴
627	婀
628	婆
629	婉
630	婚
631	婪
632	婴
633	媚
634	媲
635	嫁
636	嫌
637	嫣
638	嫩
639	嬉
640	子
641	孑
642	孔
643	字
644	存
645	孙
646	孝
647	季
648	孤
649	学
650	孩
651	孱
652	宁
653	它
654	宇
655	守
656	安
657	宋
658	完
659	宕
660	宗
661	官
662	宙
663	定
664	宛
665	宜
666	宝
667	实
668	客
669	室
670	宫
671	宰
672	害
673	宴
674	宵
675	家
676	容
677	宽
678	宾
679	宿
680	寂
681	寄
682	密
683	富
684	寒
685	寓
686	寝
687	寞
688	察
689	寡
690	寥
691	寨
692	寸
693	对
694	寻
695	导
696	寿
697	封
698	射
699	将
700	尊
701	小
702	少
703	尔
704	尖
705	尘
706	尚
707	尝
708	就
709	尸
710	尽
711	尾
712	局
713	屁
714	层
715	居
716	屈
717	屋
718	展
719	属
720	履
721	屯
722	山
723	屹
724	岁
725	岗
726	岛
727	岩
728	岳
729	岸
730	峡
731	峨
732	峰
733	峻
734	崖
735	崩
736	嵌
737	巅
738	巍
739	川
740	州
741	巢
742	工
743	左
744	巧
745	巨
746	巫
747	己
748	已
749	巴
750	巷
751	巾
752	市
753	布
